date,ticker,price
2024-01-01,AAPL,150.5890872132108
2024-01-02,AAPL,149.979329506115
2024-01-03,AAPL,148.91745594404188
2024-01-04,AAPL,150.34029992142433
2024-01-05,AAPL,150.9944223860262
2024-01-06,AAPL,151.1138839393865
2024-01-07,AAPL,152.31327622801928
2024-01-08,AAPL,151.7275824432504
2024-01-09,AAPL,151.3610503719108
2024-01-10,AAPL,152.4302625554149
2024-01-11,AAPL,153.0416136744712
2024-01-12,AAPL,154.66648310807952
2024-01-13,AAPL,157.47497541357615
2024-01-14,AAPL,155.06164610623838
2024-01-15,AAPL,157.29070297913609
2024-01-16,AAPL,157.8426649812805
2024-01-17,AAPL,158.50099893727983
2024-01-18,AAPL,159.82481699252546
2024-01-19,AAPL,160.14463030267822
2024-01-20,AAPL,159.4460548132798
