date,ticker,price
2024-01-01,AAPL,149.71126767661
2024-01-02,AAPL,149.0294096405362
2024-01-03,AAPL,148.556682416984
2024-01-04,AAPL,148.44907052925797
2024-01-05,AAPL,148.7783419296846
2024-01-06,AAPL,149.89352879143297
2024-01-07,AAPL,151.40670207671891
2024-01-08,AAPL,152.23330059777044
2024-01-09,AAPL,152.10912973551208
2024-01-10,AAPL,151.72390640936828
2024-01-11,AAPL,149.60903934521806
2024-01-12,AAPL,150.59849326479502
2024-01-13,AAPL,150.21153963267443
2024-01-14,AAPL,151.47486810401568
2024-01-15,AAPL,150.25882268982448
2024-01-16,AAPL,150.68996177640315
2024-01-17,AAPL,150.01102165164082
2024-01-18,AAPL,147.8939525460866
2024-01-19,AAPL,149.48872778016127
2024-01-20,AAPL,147.96433765532768
